2022-11-23 17:37:14.790 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zwc.SpringbootthymeleafApplicationTests], using SpringBootContextLoader
2022-11-23 17:37:14.793 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zwc.SpringbootthymeleafApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-11-23 17:37:14.794 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zwc.SpringbootthymeleafApplicationTests]: SpringbootthymeleafApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-11-23 17:37:14.876 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zwc.SpringbootthymeleafApplication for test class com.zwc.SpringbootthymeleafApplicationTests
2022-11-23 17:37:14.941 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-11-23 17:37:14.952 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7b993c65, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@37911f88, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6f1c29b7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4d6025c5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7f284218, org.springframework.test.context.support.DirtiesContextTestExecutionListener@407a7f2a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ea5b703, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2a7ed1f, org.springframework.test.context.event.EventPublishingTestExecutionListener@3fa247d1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2cb2fc20, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4f4c4b1a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@723e88f9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5f0fd5a0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@64e7619d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@495ee280]
2022-11-23 17:37:15.194 [main] INFO  com.zwc.SpringbootthymeleafApplicationTests - Starting SpringbootthymeleafApplicationTests using Java 1.8.0_131 on DESKTOP-TEJ57I6 with PID 12328 (started by ray in E:\javaprojects\spring-learning\springbootthymeleaf)
2022-11-23 17:37:15.194 [main] INFO  com.zwc.SpringbootthymeleafApplicationTests - No active profile set, falling back to 1 default profile: "default"
2022-11-23 17:37:15.762 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-23 17:37:15.927 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-23 17:37:16.298 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2022-11-23 17:37:16.523 [main] INFO  com.zwc.SpringbootthymeleafApplicationTests - Started SpringbootthymeleafApplicationTests in 1.544 seconds (JVM running for 2.173)
2022-11-23 17:37:16.678 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
